,z1,z2,human_annotation,subtle_super_clusters,subtle_sub_clusters
134,-0.9620399,12.19894,walking,3,57
135,-1.1488904,12.197507,walking,3,5
136,-1.2643483,12.197822,walking,3,5
137,-1.4002774,12.216859,walking,3,5
138,-1.3916011,12.279149,walking,3,5
139,-1.5184623,12.308443,walking,3,5
140,-1.6487103,12.340449,walking,3,5
141,-1.6888665,12.342274,walking,3,5
142,-1.6921232,12.37846,walking,3,5
143,-1.7212921,12.35427,walking,3,5
144,-1.7336178,12.2209215,walking,3,5
145,-1.758794,11.998127,walking,3,5
146,-1.6538644,11.871013,walking,3,5
147,-0.83114123,11.626138,walking,3,18
148,0.19204819,11.720414,walking,3,36
149,0.5399846,11.924266,walking,3,36
150,0.76186305,12.074722,walking,3,36
151,0.80673784,12.068394,walking,3,36
152,0.78867793,12.148226,walking,3,36
153,0.8309492,12.225118,walking,3,36
154,0.77862996,12.319189,walking,3,36
155,0.80260676,12.35054,walking,3,36
156,0.9047582,12.391046,walking,3,45
157,0.9290054,12.4791565,walking,3,45
158,1.1483254,12.658323,na,3,45
159,1.3088318,12.987502,na,3,45
160,1.2418516,13.346362,na,3,1
161,1.195066,13.389646,na,3,1
162,1.194852,13.336601,na,3,1
163,1.2297575,13.402312,na,3,1
164,1.1726942,13.310652,na,3,1
165,1.150964,13.249825,na,3,1
166,1.3367527,13.127333,na,3,1
167,1.460503,12.932019,walking,3,45
168,1.6026942,12.852621,walking,3,45
169,1.6411266,12.897397,walking,3,45
170,1.7434623,12.67046,walking,3,19
171,1.7719545,12.60662,walking,3,19
172,1.7634377,12.566673,walking,3,19
173,1.7626009,12.549733,walking,3,19
174,1.8873341,12.358115,walking,3,19
175,1.7384228,12.122816,walking,3,47
176,1.7966926,12.186342,walking,3,47
177,1.745862,12.239896,walking,3,47
178,1.6869081,12.089485,walking,3,47
179,1.7031244,12.092046,walking,3,47
180,1.4875524,12.1431265,walking,3,47
181,0.66814405,12.434973,walking,3,36
182,0.14332378,12.487107,walking,3,26
183,-0.3494914,12.533701,walking,3,57
184,-0.75472,12.493907,walking,3,57
185,-0.8632671,12.543556,walking,3,57
186,-0.9600191,12.51984,walking,3,57
187,-0.898948,12.537467,walking,3,57
188,-0.97921085,12.469718,walking,3,57
189,-1.323919,12.406259,walking,3,5
190,-1.4284378,12.351547,na,3,5
191,-1.566378,12.34087,na,3,5
192,-1.6012868,12.380509,na,3,5
193,-1.7188963,12.292571,na,3,5
194,-1.7372854,12.270278,na,3,5
195,-1.7993102,12.201571,na,3,5
196,-1.8262742,12.165062,walking,3,5
197,-1.747786,12.162345,walking,3,5
198,-1.8127238,12.015631,walking,3,5
199,-1.8148775,11.897802,walking,3,5
200,-1.812254,11.669898,walking,3,18
201,-1.6255966,11.403574,walking,3,18
202,-1.4628999,11.300247,walking,3,18
203,-1.1291399,10.919805,walking,3,32
204,-1.1216159,10.504083,walking,3,32
205,-0.9822509,10.1881275,walking,3,32
206,-1.5988526,8.316994,walking,0,39
207,-1.6941509,8.294832,walking,0,39
208,-1.8023676,8.09735,walking,0,39
209,-1.8244588,8.122937,walking,0,39
210,-1.7643543,8.114914,walking,0,39
211,-1.6981236,7.963797,walking,0,29
212,-1.4244939,7.5493293,walking,0,13
213,-1.2895927,7.1330423,walking,0,13
214,-1.2874031,6.812556,walking,0,11
215,-1.2432578,6.6063347,walking,0,31
216,-1.2314643,6.532017,walking,0,31
217,-1.3708725,6.41104,walking,0,31
218,-1.4048319,6.4074707,walking,0,31
219,-1.5406508,6.4793844,walking,0,11
220,-1.8350824,6.5182843,walking,0,11
221,-2.1332016,6.75996,na,0,11
222,-2.5425265,6.972658,na,0,6
223,-3.0387287,7.158987,na,0,6
224,-3.4994388,7.4423647,na,0,43
225,-3.76952,7.474157,na,0,43
226,-3.8046815,7.505824,na,0,43
227,-3.7594113,7.5641313,na,0,43
228,-3.6556444,7.6109524,na,0,43
229,-3.539005,7.7873445,na,0,43
230,-2.2743788,8.157802,na,0,56
231,-2.0735939,8.301214,na,0,39
232,-1.94651,8.399946,na,0,39
233,1.5517819,13.088515,na,3,1
234,1.5283142,13.340815,na,3,1
235,1.5783184,13.429816,walking,3,1
236,1.5078915,13.384345,walking,3,1
237,1.5532495,13.496885,walking,3,1
238,1.5283059,13.4930315,walking,3,1
239,1.5757253,13.448712,walking,3,1
240,1.6761833,13.472593,walking,3,1
241,1.7819711,13.459699,walking,3,1
242,1.7413634,13.509019,walking,3,1
243,1.8533182,13.619498,walking,3,1
244,1.8221326,13.803184,walking,3,1
245,1.8222095,13.872518,walking,3,1
246,1.8120787,13.891806,walking,3,1
247,1.7973616,13.855412,walking,3,1
248,1.7539169,13.910532,walking,3,1
249,1.8472282,13.776255,walking,3,1
250,1.9502994,13.563945,walking,3,1
251,1.9880457,13.267648,walking,3,1
252,2.1746833,12.734231,walking,3,19
253,2.1707344,12.33526,walking,3,49
254,2.0971653,12.068827,na,3,49
255,2.079194,11.872045,na,3,49
256,1.8479416,11.74344,na,3,47
